N,P,K,temperature,humidity,ph,rainfall,season,label
71,28,45,14.7,58.3,6.3,155.9,Winter,orange
79,34,44,21.2,70.5,6.0,158.4,Spring,maize
60,36,30,22.2,52.1,6.6,97.7,Winter,grapes
56,24,24,15.8,47.1,5.9,88.4,Winter,potato
59,31,33,23.9,58.1,6.0,75.8,Spring,tomato
59,26,21,18.4,46.7,6.1,56.1,Winter,onion
52,27,24,34.6,56.7,7.0,72.1,Autumn,cotton
45,16,19,11.6,58.9,6.0,63.3,Winter,carrot
94,44,43,27.0,87.8,6.7,231.5,Summer,rice
55,49,25,17.6,62.4,6.3,145.7,Winter,apple
67,37,44,33.6,61.6,6.4,116.6,Spring,papaya
53,36,26,23.4,49.4,5.6,59.4,Winter,grapes
55,50,37,15.7,55.4,6.6,78.0,Winter,wheat
61,29,29,26.5,46.7,6.4,53.5,Autumn,cotton
88,43,33,25.4,81.9,6.6,177.0,Summer,mango
63,45,38,27.4,62.2,6.1,124.0,Summer,mango
82,49,45,34.6,84.0,6.2,210.9,Summer,banana
46,31,26,26.4,52.9,6.0,107.3,Autumn,cotton
79,34,35,33.4,61.6,7.3,162.2,Summer,soybean
67,30,32,16.7,63.5,6.1,141.6,Winter,orange
56,24,31,21.2,62.4,5.5,68.9,Winter,onion
64,26,33,16.8,51.3,5.5,77.2,Winter,potato
87,33,40,29.6,80.2,6.5,213.0,Summer,banana
84,31,39,25.9,60.5,6.3,164.6,Summer,mango
50,35,19,17.2,57.2,7.0,73.9,Winter,carrot
78,35,45,29.3,82.8,6.4,221.5,Summer,banana
81,57,46,26.2,89.0,6.7,253.6,Summer,rice
58,29,25,16.2,71.8,5.6,86.2,Winter,orange
90,39,34,28.4,59.5,6.1,152.1,Spring,maize
73,44,33,30.7,75.1,6.2,119.2,Spring,papaya
54,28,23,17.1,60.4,5.8,63.3,Winter,potato
87,42,50,29.9,76.3,6.3,248.7,Summer,rice
74,45,41,19.4,74.5,5.6,88.3,Winter,orange
99,36,40,22.1,83.6,7.0,198.9,Summer,rice
55,20,20,8.9,50.6,6.4,47.9,Winter,carrot
58,45,26,20.7,67.4,5.5,101.0,Winter,orange
60,25,15,12.8,55.9,5.6,90.0,Winter,onion
57,54,44,14.8,51.9,6.6,61.3,Winter,wheat
66,48,43,13.5,63.3,6.1,110.7,Winter,wheat
61,29,33,34.8,50.9,5.7,80.2,Autumn,cotton
67,34,30,29.8,69.4,6.5,177.4,Spring,maize
49,18,35,14.8,55.3,6.6,76.0,Winter,carrot
60,32,26,32.2,74.0,6.8,177.2,Summer,soybean
70,24,24,25.7,55.0,5.5,54.4,Autumn,cotton
51,54,34,19.4,52.1,7.2,131.5,Winter,wheat
61,28,47,27.3,61.0,5.8,241.5,Summer,mango
61,44,34,32.8,82.8,5.8,167.1,Spring,papaya
68,28,21,25.1,50.9,6.5,83.1,Autumn,cotton
60,29,27,8.8,53.1,6.5,92.9,Winter,potato
41,22,32,13.1,48.3,6.0,45.1,Winter,carrot
79,30,29,27.3,76.4,6.3,99.7,Summer,soybean
77,37,45,24.2,67.1,7.4,103.1,Summer,mango
89,47,45,18.4,64.8,6.5,151.0,Spring,maize
67,29,41,33.7,79.7,5.6,133.6,Spring,papaya
72,30,60,32.7,82.6,5.7,225.6,Summer,banana
63,42,40,17.5,51.0,5.6,67.0,Winter,orange
64,37,41,28.9,65.2,6.2,142.7,Summer,mango
83,46,37,21.5,70.7,6.2,160.3,Spring,maize
36,21,15,20.6,53.3,5.6,91.5,Winter,onion
47,18,18,17.7,64.1,5.7,81.2,Winter,carrot
57,37,25,28.0,52.1,6.8,56.4,Spring,tomato
90,39,43,27.0,76.3,6.5,108.0,Summer,mango
56,21,19,16.9,49.1,6.9,76.0,Winter,onion
65,41,26,13.3,54.7,6.3,85.2,Winter,apple
55,31,31,29.7,67.3,6.6,112.5,Autumn,cotton
38,24,30,13.0,61.2,5.5,40.6,Winter,carrot
82,36,39,26.2,75.6,6.2,265.7,Summer,rice
73,34,44,32.1,60.7,5.8,89.5,Spring,papaya
71,31,35,28.0,71.4,6.7,89.6,Spring,papaya
96,55,44,21.6,78.5,6.0,214.4,Summer,rice
67,47,45,29.2,62.5,6.4,119.3,Spring,maize
61,23,38,29.8,62.6,6.1,97.7,Spring,tomato
54,38,25,19.4,74.4,6.4,103.5,Spring,tomato
63,26,35,22.6,59.1,7.4,160.0,Summer,soybean
67,40,43,33.7,62.1,7.1,186.2,Summer,mango
73,26,39,35.8,83.8,7.2,228.5,Summer,mango
72,41,48,27.7,78.2,7.0,224.8,Summer,banana
64,34,25,10.6,58.6,6.6,71.9,Winter,potato
61,24,35,11.8,64.6,5.8,79.7,Winter,potato
42,37,38,25.1,69.6,6.0,60.6,Autumn,cotton
41,28,25,12.3,50.9,6.4,70.4,Winter,potato
85,29,39,33.8,78.6,6.0,235.0,Summer,mango
83,36,34,29.4,66.6,7.4,153.1,Summer,soybean
59,29,25,16.4,56.1,6.1,89.6,Winter,potato
85,32,28,30.8,78.7,6.9,103.1,Spring,papaya
68,60,30,15.8,53.3,7.0,63.8,Winter,wheat
76,42,49,30.3,84.8,5.7,284.5,Summer,banana
95,35,43,28.6,80.0,5.7,260.8,Summer,banana
70,33,33,19.0,58.7,6.0,116.2,Spring,maize
46,29,32,20.9,54.9,7.0,43.3,Winter,grapes
75,39,31,24.7,76.2,6.9,165.3,Summer,soybean
63,28,36,23.5,77.6,6.9,172.1,Spring,papaya
65,30,34,23.0,68.6,6.6,66.1,Spring,tomato
60,40,39,32.1,69.6,6.6,108.3,Spring,papaya
76,42,58,27.5,73.5,6.6,281.6,Summer,banana
49,39,28,25.3,53.4,5.5,72.2,Autumn,cotton
41,36,20,34.8,66.5,7.4,52.8,Autumn,cotton
64,31,37,29.5,60.2,6.4,127.5,Summer,soybean
62,41,31,11.2,57.0,6.5,155.5,Winter,orange
56,32,21,19.5,56.0,6.6,45.2,Winter,grapes
98,30,54,25.3,77.6,6.2,239.2,Summer,banana
70,31,29,23.4,82.5,6.8,122.5,Spring,papaya
53,18,15,12.2,49.9,5.7,99.3,Winter,onion
52,41,39,10.7,69.4,6.4,129.4,Winter,orange
68,43,41,26.7,63.3,6.9,83.6,Spring,maize
62,30,26,32.5,71.3,6.6,110.3,Summer,soybean
82,56,43,27.7,79.3,6.4,276.1,Summer,rice
53,25,38,30.7,62.5,5.7,59.3,Autumn,cotton
90,49,53,28.4,76.2,6.4,180.1,Summer,banana
73,31,44,7.1,52.4,6.2,69.2,Winter,apple
70,26,41,24.6,73.1,6.4,88.9,Spring,papaya
49,40,25,23.0,56.5,7.4,51.3,Winter,grapes
64,41,44,21.0,63.4,6.4,105.8,Winter,orange
99,53,40,30.7,77.8,6.2,274.4,Summer,rice
64,22,23,23.5,58.3,7.0,84.7,Winter,grapes
64,27,35,24.1,65.4,7.0,221.0,Summer,mango
94,45,40,29.6,71.8,6.9,276.2,Summer,rice
55,36,41,10.7,51.4,6.2,86.3,Winter,apple
60,36,22,24.8,58.8,6.9,86.2,Spring,tomato
63,38,42,21.7,63.0,6.1,122.4,Winter,orange
65,23,22,11.7,67.6,5.6,64.9,Winter,potato
71,48,42,11.2,70.1,7.1,86.8,Winter,wheat
41,32,20,16.2,61.3,5.9,55.9,Winter,potato
72,35,41,30.9,62.5,5.7,143.7,Spring,papaya
57,31,31,11.6,61.4,6.5,79.0,Winter,potato
63,30,20,25.4,54.4,5.8,123.0,Spring,tomato
50,31,32,25.6,60.9,6.2,75.4,Autumn,cotton
72,38,45,34.2,75.7,6.6,280.2,Summer,banana
60,20,25,18.6,62.0,5.6,57.2,Winter,grapes
46,30,35,17.3,66.0,6.2,41.3,Winter,potato
81,26,36,35.1,69.4,5.6,103.1,Summer,mango
64,41,47,14.3,57.0,7.5,143.5,Winter,wheat
40,25,24,34.5,66.1,5.9,85.3,Autumn,cotton
66,41,45,27.3,63.4,6.5,80.5,Summer,soybean
43,38,25,33.0,54.6,6.9,51.9,Autumn,cotton
70,24,35,23.4,60.6,5.7,58.5,Winter,grapes
36,24,22,19.0,52.9,5.9,60.2,Winter,carrot
81,36,34,30.6,78.2,6.2,121.4,Summer,soybean
97,36,49,30.3,88.1,6.6,231.5,Summer,rice
87,37,38,33.6,76.3,5.8,171.7,Summer,mango
69,40,26,32.1,66.8,6.2,83.4,Summer,soybean
56,44,37,13.6,48.5,6.7,50.7,Winter,apple
84,45,27,31.7,71.3,6.0,82.5,Summer,soybean
63,26,33,8.9,61.0,6.5,94.0,Winter,potato
59,40,35,14.3,48.2,6.9,132.0,Winter,apple
47,27,32,17.1,64.6,5.6,55.0,Winter,grapes
60,32,30,21.2,51.8,6.0,137.6,Winter,orange
52,17,24,17.7,63.8,5.6,69.4,Winter,carrot
45,21,31,14.9,66.5,6.8,100.2,Winter,grapes
68,41,43,18.8,55.7,6.1,107.6,Winter,orange
69,39,44,32.0,79.7,6.1,144.4,Spring,papaya
64,38,26,21.3,52.1,5.9,104.7,Winter,grapes
50,59,50,18.1,64.2,6.3,102.9,Winter,wheat
90,43,42,30.9,76.2,5.9,203.2,Summer,banana
52,37,39,22.8,68.4,5.6,78.5,Winter,grapes
73,42,34,31.9,60.1,7.1,95.9,Summer,soybean
78,35,33,23.5,66.7,6.4,105.2,Spring,papaya
56,43,30,21.0,72.4,6.2,65.5,Winter,wheat
56,25,27,30.6,48.3,7.1,62.5,Autumn,cotton
67,36,36,30.8,67.5,6.6,118.4,Autumn,cotton
42,29,19,17.1,64.8,6.7,54.2,Winter,carrot
83,40,40,18.7,56.9,6.4,99.0,Spring,maize
60,30,31,18.0,52.0,6.2,44.0,Winter,onion
46,30,27,18.0,65.4,5.9,75.1,Winter,onion
72,42,31,26.3,74.5,6.5,248.7,Summer,mango
88,42,30,20.3,60.6,6.7,146.0,Spring,maize
68,32,33,33.5,59.5,6.4,98.7,Summer,soybean
84,41,25,22.4,78.9,6.4,101.6,Summer,soybean
53,27,20,24.8,69.6,6.5,101.3,Autumn,cotton
53,36,25,20.9,67.1,6.9,113.6,Winter,orange
90,47,42,29.0,72.1,5.7,186.1,Summer,rice
53,42,36,19.5,60.5,6.7,57.2,Winter,apple
85,44,30,24.5,78.8,6.8,159.2,Spring,papaya
54,36,43,16.4,45.0,6.7,120.7,Winter,apple
58,31,21,12.4,63.2,5.7,41.1,Winter,carrot
98,57,43,30.3,76.0,6.6,245.3,Summer,rice
54,28,15,11.8,63.4,6.7,44.9,Winter,carrot
81,50,45,24.7,75.4,6.6,190.8,Summer,banana
80,43,49,26.0,71.7,7.2,102.5,Summer,mango
59,30,28,21.1,69.3,7.4,119.3,Winter,grapes
89,29,42,31.9,71.3,5.8,168.2,Summer,mango
48,32,21,16.9,63.1,6.2,45.9,Winter,potato
49,24,24,20.2,46.7,6.7,85.5,Winter,grapes
85,38,30,24.4,70.1,6.9,153.9,Spring,maize
67,25,38,24.2,75.0,7.4,112.2,Summer,soybean
51,29,39,25.0,70.1,6.6,84.3,Spring,tomato
68,42,28,27.4,79.6,6.2,116.1,Spring,papaya
66,36,23,29.2,72.6,5.8,58.7,Spring,tomato
74,37,37,15.0,48.6,6.5,110.8,Winter,apple
63,39,31,31.6,58.0,5.7,58.1,Autumn,cotton
75,41,41,28.7,78.2,6.0,170.9,Summer,soybean
79,32,40,20.1,73.2,6.1,84.5,Spring,maize
35,15,23,18.3,62.5,6.7,58.3,Winter,onion
70,43,41,17.4,52.4,6.5,140.2,Winter,orange
46,28,25,10.7,58.2,6.1,43.7,Winter,carrot
80,36,35,29.8,80.2,6.6,219.9,Summer,rice
61,24,34,29.3,72.9,6.5,113.4,Spring,tomato
39,25,28,20.7,67.2,5.5,60.3,Winter,onion
77,30,43,34.4,83.9,6.2,198.7,Summer,mango
73,29,33,30.6,70.7,6.6,120.9,Spring,papaya
73,41,41,13.9,58.3,6.7,145.1,Winter,apple
67,34,44,29.6,60.3,6.1,137.6,Spring,maize
62,35,28,19.4,65.4,6.4,79.9,Winter,potato
65,26,27,33.3,84.1,6.0,123.9,Spring,papaya
82,37,48,31.5,76.3,6.5,261.1,Summer,rice
75,41,33,20.3,62.5,7.4,69.2,Winter,wheat
64,38,40,12.5,50.7,6.2,140.4,Winter,orange
89,25,40,33.6,61.1,7.0,138.0,Summer,mango
70,47,50,26.8,74.5,5.9,221.6,Summer,banana
44,23,34,16.5,63.0,5.8,42.9,Winter,potato
74,41,39,14.2,58.4,7.2,140.9,Winter,wheat
51,40,31,18.7,52.3,6.9,41.4,Winter,grapes
43,25,16,10.1,67.8,5.8,67.9,Winter,onion
45,28,26,12.5,61.8,5.8,77.2,Winter,carrot
65,25,35,33.1,72.3,6.6,123.3,Spring,papaya
59,29,17,21.7,48.4,6.5,48.3,Winter,onion
46,20,36,24.9,55.6,6.5,64.3,Autumn,cotton
69,45,46,19.7,62.4,6.1,116.3,Winter,wheat
59,28,30,13.4,47.7,6.7,97.5,Winter,potato
66,23,29,26.5,52.4,6.4,108.7,Autumn,cotton
53,35,27,9.9,52.0,5.6,58.9,Winter,carrot
46,28,32,19.9,54.7,5.5,89.6,Winter,onion
58,32,28,23.3,58.9,6.6,106.0,Spring,tomato
75,32,30,28.4,66.2,7.3,158.0,Summer,soybean
52,15,27,12.6,48.4,6.1,50.9,Winter,onion
41,33,39,33.7,48.3,6.9,116.5,Autumn,cotton
52,32,28,19.5,55.9,6.5,46.8,Winter,potato
77,30,31,25.7,63.7,6.3,98.0,Spring,maize
48,35,34,12.5,68.3,6.1,56.0,Winter,onion
54,30,31,26.3,71.8,7.0,117.1,Spring,tomato
61,31,38,26.8,79.1,6.2,168.9,Spring,papaya
46,27,25,11.3,63.7,5.8,61.3,Winter,potato
57,25,27,26.2,63.7,6.1,82.5,Spring,tomato
45,26,25,24.5,56.8,6.3,84.2,Spring,tomato
62,45,38,34.1,69.6,6.2,247.6,Summer,mango
70,33,24,18.0,62.8,6.0,114.2,Winter,grapes
100,49,48,30.1,88.5,6.9,287.6,Summer,banana
99,59,50,22.0,74.9,6.0,261.9,Summer,rice
72,50,55,34.4,88.1,6.0,163.8,Summer,banana
99,52,50,23.1,84.4,5.8,236.1,Summer,rice
81,58,42,23.4,80.3,6.0,202.7,Summer,rice
84,50,56,25.1,74.5,6.2,168.8,Summer,banana
58,23,20,17.3,49.3,6.6,107.2,Winter,grapes
63,47,38,11.1,69.4,6.8,66.7,Winter,wheat
64,29,37,26.9,69.6,6.7,129.8,Summer,soybean
97,43,50,30.6,86.1,6.3,277.5,Summer,rice
72,35,38,29.5,68.7,6.1,176.5,Summer,soybean
54,35,22,19.7,63.4,6.4,64.7,Winter,potato
93,37,46,30.1,79.1,5.7,291.9,Summer,rice
50,29,45,18.7,70.2,5.6,125.7,Winter,orange
50,38,23,24.4,63.8,5.8,74.3,Spring,tomato
71,25,31,29.9,74.2,6.4,183.2,Summer,mango
93,46,48,21.8,88.0,6.1,219.9,Summer,rice
77,43,35,29.4,63.8,6.2,93.5,Spring,maize
95,52,37,24.2,75.4,6.0,188.8,Summer,rice
61,42,36,24.3,62.0,5.6,117.8,Spring,maize
58,26,33,18.3,70.2,6.2,110.3,Spring,tomato
94,37,58,32.5,77.7,6.9,153.8,Summer,banana
60,35,37,23.5,66.8,6.7,70.5,Spring,maize
82,58,38,28.4,72.7,5.9,192.3,Summer,rice
88,37,47,31.2,82.9,6.5,258.2,Summer,banana
67,41,25,31.6,73.6,7.3,87.9,Summer,soybean
97,35,48,24.6,87.4,6.2,283.4,Summer,rice
69,45,43,16.0,58.2,6.6,70.4,Winter,apple
37,19,34,10.1,48.8,6.2,67.3,Winter,carrot
49,34,23,34.3,50.5,5.9,115.1,Autumn,cotton
56,22,35,18.7,56.0,5.9,60.2,Winter,grapes
61,39,40,11.2,54.0,6.6,132.3,Winter,orange
95,43,49,28.2,86.7,5.5,195.1,Summer,banana
72,48,40,27.5,74.9,7.0,166.3,Spring,maize
87,39,49,32.2,63.5,7.3,100.0,Summer,mango
71,46,43,29.0,82.3,6.8,168.5,Summer,banana
58,35,40,17.3,58.2,5.8,135.7,Winter,orange
53,22,27,34.0,51.4,7.1,108.2,Autumn,cotton
48,20,34,15.1,53.4,6.6,43.3,Winter,potato
71,29,36,17.6,66.8,6.9,94.0,Winter,orange
70,47,46,28.8,86.6,6.5,167.0,Summer,banana
43,23,16,16.6,50.2,6.5,42.5,Winter,carrot
70,35,43,15.8,58.4,6.7,70.1,Winter,orange
47,24,17,18.7,51.8,5.6,55.7,Winter,onion
94,45,45,24.8,73.7,5.9,182.5,Summer,rice
69,30,27,30.6,72.3,6.9,141.2,Spring,papaya
66,47,49,14.0,70.4,6.6,55.6,Winter,wheat
70,33,31,13.1,74.3,6.1,111.3,Winter,orange
67,39,40,10.5,56.3,5.8,87.9,Winter,orange
65,34,28,12.8,54.8,5.7,113.4,Winter,grapes
82,41,26,28.2,59.3,7.4,76.7,Summer,soybean
54,39,29,20.0,62.9,6.3,50.7,Winter,grapes
76,41,44,17.6,52.6,7.3,137.1,Winter,wheat
64,45,40,11.3,70.7,5.7,60.3,Winter,orange
60,39,37,19.8,65.8,6.3,76.4,Winter,grapes
70,26,32,29.9,63.6,7.5,162.4,Summer,soybean
76,58,41,13.9,59.3,6.9,127.0,Winter,wheat
57,57,48,21.9,50.8,6.0,141.9,Winter,wheat
76,45,44,18.1,51.3,5.6,79.2,Winter,apple
75,32,45,30.3,77.0,7.0,114.5,Summer,soybean
69,54,47,15.2,58.4,7.4,117.3,Winter,wheat
69,42,50,10.6,67.9,6.4,110.7,Winter,wheat
65,33,24,8.8,47.3,6.6,83.2,Winter,potato
64,45,44,24.7,57.3,6.0,160.7,Spring,maize
85,32,42,25.4,63.2,6.9,84.9,Spring,papaya
51,35,40,15.2,60.7,6.1,80.6,Winter,orange
61,21,30,16.8,51.5,5.7,93.5,Winter,potato
83,28,29,23.6,81.5,6.8,147.4,Spring,papaya
65,32,43,7.3,59.2,6.5,134.9,Winter,apple
62,26,25,26.5,65.4,6.6,113.5,Autumn,cotton
79,28,39,32.1,73.2,5.7,163.2,Summer,mango
63,31,40,29.9,66.8,6.6,69.7,Spring,tomato
75,32,41,17.7,64.9,6.7,74.3,Winter,orange
66,35,20,20.1,48.4,7.3,84.1,Winter,grapes
56,21,28,22.1,51.8,6.5,99.3,Winter,grapes
52,29,39,23.7,57.5,5.6,50.0,Spring,tomato
83,34,43,25.8,73.3,5.9,90.9,Spring,maize
64,37,35,21.0,70.5,6.2,80.3,Spring,tomato
51,25,29,12.0,54.4,6.4,145.2,Winter,orange
68,60,35,17.2,52.2,6.5,144.0,Winter,wheat
37,29,24,18.2,56.1,6.3,72.3,Winter,onion
62,36,40,21.7,66.7,6.1,59.5,Winter,grapes
57,26,21,24.8,61.0,5.9,100.3,Spring,tomato
52,23,39,29.2,60.6,6.7,126.4,Spring,tomato
60,33,33,13.0,47.3,6.0,67.4,Winter,potato
53,46,50,13.3,74.9,7.1,139.4,Winter,wheat
100,56,48,21.9,81.8,6.8,216.4,Summer,rice
92,32,46,30.9,81.5,6.7,272.0,Summer,banana
90,34,44,22.1,67.3,6.5,92.7,Spring,maize
43,34,17,19.6,62.8,6.4,60.1,Winter,onion
56,20,38,23.1,58.1,5.6,72.8,Spring,tomato
55,30,27,11.4,59.2,6.7,156.8,Winter,orange
97,48,55,25.4,78.0,5.6,196.5,Summer,banana
65,45,42,26.4,69.9,6.1,171.8,Summer,mango
45,35,24,27.5,64.8,6.0,81.3,Spring,tomato
79,40,44,24.8,58.2,6.9,102.4,Spring,maize
74,42,39,18.1,68.0,7.1,50.5,Winter,wheat
56,32,29,29.6,62.7,5.6,89.1,Spring,tomato
58,21,37,34.7,55.0,6.2,51.6,Autumn,cotton
54,40,27,8.4,61.4,6.6,64.4,Winter,apple
76,36,43,23.9,56.0,6.8,135.1,Spring,maize
63,25,44,24.9,74.9,6.2,248.6,Summer,mango
47,29,33,28.3,59.2,6.1,128.4,Spring,tomato
61,44,36,27.3,64.8,6.6,145.8,Summer,mango
78,42,57,32.4,83.8,6.5,208.4,Summer,banana
84,30,40,30.2,74.4,7.2,109.5,Summer,soybean
71,44,37,12.4,52.1,6.7,54.2,Winter,apple
42,26,33,10.5,60.2,6.9,61.8,Winter,onion
89,37,50,25.4,81.5,6.6,185.3,Summer,mango
51,49,38,20.5,72.5,6.2,119.7,Winter,wheat
65,23,26,9.2,65.5,5.9,55.3,Winter,potato
51,23,16,13.0,56.4,6.1,82.0,Winter,onion
79,37,49,28.7,82.1,6.1,137.6,Summer,mango
60,53,30,10.9,63.7,7.4,108.7,Winter,wheat
62,28,38,15.4,74.7,6.0,99.7,Winter,orange
67,31,43,31.4,77.1,7.4,99.1,Summer,mango
61,35,23,18.8,65.2,6.4,92.0,Winter,potato
72,27,50,34.5,72.7,6.0,233.4,Summer,mango
73,35,43,32.3,71.4,6.9,95.4,Spring,papaya
79,44,33,20.8,69.1,6.3,170.7,Spring,maize
58,34,15,10.1,64.8,5.5,94.0,Winter,onion
62,28,25,27.7,51.5,6.3,84.9,Spring,tomato
72,44,25,13.7,66.8,5.6,80.3,Winter,orange
84,26,39,33.2,66.7,7.0,128.9,Summer,soybean
54,60,44,17.1,73.8,7.1,138.1,Winter,wheat
57,27,35,12.9,56.1,5.6,79.6,Winter,potato
49,33,35,25.0,74.0,6.0,77.3,Spring,tomato
55,31,28,26.2,62.9,5.6,127.3,Spring,tomato
54,35,39,18.5,50.2,5.6,83.7,Winter,apple
57,34,31,14.4,50.5,6.3,82.5,Winter,apple
51,37,30,23.7,62.4,5.6,126.7,Spring,tomato
54,26,38,28.4,69.5,5.7,73.6,Spring,tomato
55,21,29,12.4,58.0,5.5,71.8,Winter,onion
63,29,35,31.5,72.9,6.7,134.6,Summer,mango
51,16,24,18.8,62.6,5.7,76.9,Winter,carrot
66,40,40,21.6,62.1,5.7,42.8,Winter,grapes
77,42,41,28.2,64.1,6.9,90.8,Spring,maize
71,39,41,34.3,81.5,5.9,162.7,Summer,mango
67,49,40,6.8,46.7,6.0,107.0,Winter,apple
55,40,23,23.4,66.0,6.1,118.9,Spring,tomato
80,49,32,10.8,50.5,6.8,125.7,Winter,apple
66,34,39,10.9,61.8,6.4,68.1,Winter,orange
44,35,25,18.1,53.2,6.1,59.1,Winter,onion
53,47,34,14.6,65.8,6.2,135.6,Winter,wheat
79,44,34,28.2,66.0,7.0,139.5,Summer,soybean
43,31,24,32.0,60.1,7.1,69.1,Autumn,cotton
52,37,38,14.1,72.1,6.3,79.2,Winter,orange
49,19,25,9.4,63.0,6.5,45.7,Winter,carrot
71,33,44,33.2,73.1,6.0,157.2,Spring,papaya
43,33,35,8.3,60.3,5.7,84.6,Winter,carrot
64,45,35,32.1,77.9,5.8,120.3,Spring,papaya
83,40,40,30.8,74.8,7.0,297.4,Summer,banana
47,35,22,18.5,59.2,6.3,91.3,Winter,potato
62,43,45,23.8,63.2,6.9,172.4,Spring,maize
92,30,45,29.1,88.9,5.7,298.2,Summer,banana
72,37,34,32.8,62.8,6.0,132.4,Summer,mango
49,38,29,21.4,61.1,5.6,138.2,Spring,tomato
70,31,20,31.8,53.0,6.9,54.8,Autumn,cotton
60,31,36,17.3,70.3,6.9,149.6,Winter,orange
83,26,35,30.7,61.6,5.7,112.2,Spring,papaya
43,33,18,11.2,64.8,6.2,74.7,Winter,carrot
68,29,28,19.8,54.2,6.7,85.5,Winter,grapes
64,50,32,21.6,55.7,6.5,148.4,Winter,wheat
94,30,60,32.0,89.0,6.6,269.5,Summer,banana
49,30,19,18.4,51.4,5.7,83.0,Winter,carrot
59,33,27,15.8,58.4,6.5,83.0,Winter,grapes
60,42,39,24.8,74.8,7.2,169.6,Summer,mango
54,50,43,19.1,73.7,6.1,90.4,Winter,wheat
58,22,34,29.6,48.7,6.7,53.0,Autumn,cotton
84,30,45,29.3,73.6,6.6,156.6,Spring,papaya
55,39,30,13.5,47.6,6.3,94.2,Winter,grapes
68,38,30,7.5,59.6,6.1,144.1,Winter,apple
85,38,31,29.5,60.7,6.5,126.0,Summer,mango
45,35,16,18.4,45.5,6.7,79.1,Winter,onion
52,28,31,33.1,60.1,7.5,91.8,Autumn,cotton
84,30,32,21.1,67.7,6.9,92.1,Spring,maize
56,28,34,15.6,46.9,6.1,95.2,Winter,grapes
62,33,43,24.8,58.7,6.3,74.1,Summer,soybean
73,29,34,12.8,73.0,7.0,83.6,Winter,orange
85,28,39,31.0,80.6,7.2,219.2,Summer,mango
59,27,28,18.4,73.5,6.1,90.8,Winter,orange
90,56,44,21.1,82.7,5.6,272.4,Summer,rice
72,35,40,31.1,77.5,5.9,116.7,Spring,papaya
60,22,29,26.2,72.7,5.9,51.5,Spring,tomato
71,45,45,20.8,74.1,6.1,70.8,Winter,orange
70,53,49,12.2,51.5,7.4,77.4,Winter,wheat
61,45,38,18.1,55.9,5.6,117.8,Winter,orange
61,40,50,26.3,74.3,6.5,173.8,Summer,mango
51,48,31,11.5,63.3,6.7,79.3,Winter,apple
60,42,49,14.0,53.8,7.3,94.4,Winter,wheat
61,37,32,27.2,82.3,7.0,213.4,Summer,mango
61,37,30,18.2,62.6,5.6,96.9,Spring,tomato
56,23,20,14.7,56.9,5.7,87.4,Winter,grapes
42,35,20,18.6,60.8,7.0,83.9,Winter,onion
62,36,36,33.7,60.7,6.7,119.5,Summer,soybean
55,31,20,18.1,58.6,6.3,85.0,Winter,potato
52,27,22,10.3,64.0,6.5,75.9,Winter,onion
58,38,40,26.5,52.8,6.9,50.4,Spring,tomato
74,38,53,26.2,70.9,5.8,273.8,Summer,banana
55,39,33,21.0,72.2,5.6,123.5,Winter,orange
55,49,33,19.9,72.2,6.1,101.9,Winter,wheat
54,29,26,8.1,54.6,6.3,46.1,Winter,potato
45,34,34,13.2,61.9,6.2,75.8,Winter,grapes
61,31,32,13.8,52.5,6.4,96.5,Winter,grapes
66,35,31,31.4,64.4,6.7,74.8,Summer,soybean
64,29,31,22.5,71.5,6.9,79.2,Summer,soybean
65,28,48,26.9,67.6,5.9,115.4,Summer,mango
43,24,21,26.1,50.2,5.9,62.0,Autumn,cotton
76,35,28,24.8,73.9,7.2,116.6,Summer,soybean
65,30,31,16.7,45.5,6.6,65.8,Winter,potato
56,31,37,26.0,68.2,6.9,121.3,Spring,tomato
75,57,34,11.1,60.8,6.7,56.8,Winter,wheat
79,46,41,22.0,72.8,6.4,69.4,Winter,wheat
52,32,26,9.2,47.2,6.3,41.4,Winter,carrot
55,40,34,19.2,50.7,5.6,53.6,Spring,tomato
67,30,23,28.4,58.7,5.6,79.3,Autumn,cotton
55,55,41,13.7,57.2,6.1,91.6,Winter,wheat
78,41,49,27.2,65.9,7.0,154.6,Summer,mango
77,34,26,32.2,69.0,6.8,176.2,Spring,papaya
88,47,60,27.3,89.6,6.6,200.9,Summer,banana
85,42,42,26.4,76.3,7.3,189.5,Summer,mango
58,37,37,11.1,48.1,6.6,113.7,Winter,apple
51,38,22,20.7,53.6,6.7,110.7,Spring,tomato
77,41,33,14.8,58.8,7.3,89.1,Winter,wheat
50,27,23,13.4,68.3,6.0,96.6,Winter,potato
70,41,42,21.4,71.6,6.0,129.8,Winter,orange
38,27,22,17.4,62.9,6.9,41.1,Winter,carrot
70,51,34,14.8,62.0,6.9,79.6,Winter,wheat
60,20,34,20.7,66.1,6.2,49.4,Winter,onion
80,28,43,30.6,71.8,6.5,165.9,Summer,soybean
69,40,25,28.6,66.9,6.0,99.4,Spring,tomato
71,39,38,29.7,63.1,7.0,167.4,Summer,soybean
57,35,30,24.3,62.4,5.7,54.1,Autumn,cotton
72,33,38,26.2,61.9,5.9,88.6,Spring,maize
78,47,57,31.3,75.7,6.5,294.2,Summer,banana
62,28,43,32.8,81.7,6.4,109.1,Summer,mango
